effect,group,term,estimate,std.error,statistic,df,p.value
ran_pars,subj_id,sd__X_i,52.968,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),84.845,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.467,NA,NA,NA,NA
fixed,NA,(Intercept),784.621,15.746,49.83,92.532,0
fixed,NA,X_i,34.748,26.168,1.328,49.947,0.19
ran_pars,subj_id,sd__(Intercept),89.618,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.28,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.784,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),89.307,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.299,NA,NA,NA,NA
fixed,NA,(Intercept),796.063,16.114,49.402,119.426,0
fixed,NA,X_i,62.272,23.66,2.632,49.653,0.011
ran_pars,subj_id,sd__(Intercept),110.573,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.713,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,31.923,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.455,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.187,NA,NA,NA,NA
fixed,NA,(Intercept),809.933,14.789,54.765,119.616,0
fixed,NA,X_i,80.474,21.718,3.705,50.657,0.001
ran_pars,subj_id,sd__(Intercept),102.084,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.077,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.891,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),73.043,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.578,NA,NA,NA,NA
fixed,NA,(Intercept),826.424,14.797,55.853,114.385,0
fixed,NA,X_i,72.804,22.41,3.249,51.119,0.002
ran_pars,subj_id,sd__(Intercept),98.773,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.296,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,40.862,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),75.355,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.57,NA,NA,NA,NA
fixed,NA,(Intercept),813.759,14.731,55.241,101.532,0
fixed,NA,X_i,14.925,23.539,0.634,49.934,0.529
ran_pars,subj_id,sd__(Intercept),90.227,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.116,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,34.198,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),79.871,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.078,NA,NA,NA,NA
fixed,NA,(Intercept),785.359,12.883,60.961,115.777,0
fixed,NA,X_i,9.459,19.52,0.485,54.249,0.63
ran_pars,subj_id,sd__(Intercept),87.699,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.033,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,49.795,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),63.701,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.8,NA,NA,NA,NA
fixed,NA,(Intercept),804.225,16.797,47.878,115.571,0
fixed,NA,X_i,60.327,25.354,2.379,50.751,0.021
ran_pars,subj_id,sd__(Intercept),112.299,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.411,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,43.204,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.049,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.457,NA,NA,NA,NA
fixed,NA,(Intercept),779.927,15.982,48.8,116.16,0
fixed,NA,X_i,37.477,24.019,1.56,50.925,0.125
ran_pars,subj_id,sd__(Intercept),107.555,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.037,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.324,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.127,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.429,NA,NA,NA,NA
fixed,NA,(Intercept),798.544,14.753,54.129,114.658,0
fixed,NA,X_i,56.946,22.178,2.568,50.073,0.013
ran_pars,subj_id,sd__(Intercept),98.735,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.102,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,33.524,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),74.894,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.635,NA,NA,NA,NA
fixed,NA,(Intercept),821.492,16.044,51.202,100.108,0
fixed,NA,X_i,72.902,26.004,2.804,51.18,0.007
ran_pars,subj_id,sd__(Intercept),96.944,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.025,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,47.399,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),88.101,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.426,NA,NA,NA,NA
fixed,NA,(Intercept),757.819,15.281,49.593,116.51,0
fixed,NA,X_i,54.978,22.795,2.412,50.201,0.02
ran_pars,subj_id,sd__(Intercept),103.307,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.14,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.335,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.04,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.912,NA,NA,NA,NA
fixed,NA,(Intercept),801.491,16.081,49.84,105.845,0
fixed,NA,X_i,49.009,25.345,1.934,50.479,0.059
ran_pars,subj_id,sd__(Intercept),101.108,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.528,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.086,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.179,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.987,NA,NA,NA,NA
fixed,NA,(Intercept),741.926,17.047,43.522,120.816,0
fixed,NA,X_i,80.2,25.087,3.197,51.033,0.002
ran_pars,subj_id,sd__(Intercept),117.595,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.064,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,44.786,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),85.002,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.664,NA,NA,NA,NA
fixed,NA,(Intercept),817.538,16.061,50.902,102.979,0
fixed,NA,X_i,41.404,25.538,1.621,49.757,0.111
ran_pars,subj_id,sd__(Intercept),98.998,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.07,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.144,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),87.215,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.807,NA,NA,NA,NA
fixed,NA,(Intercept),768.418,15.251,50.383,106.089,0
fixed,NA,X_i,22.802,23.96,0.952,50.433,0.346
ran_pars,subj_id,sd__(Intercept),96.351,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.142,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.726,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.125,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.805,NA,NA,NA,NA
fixed,NA,(Intercept),785.509,16.665,47.135,89.498,0
fixed,NA,X_i,85.005,28.031,3.033,49.683,0.004
ran_pars,subj_id,sd__(Intercept),92.086,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.452,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.482,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),96.238,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.039,NA,NA,NA,NA
fixed,NA,(Intercept),778.149,15.181,51.258,109.29,0
fixed,NA,X_i,21.343,23.489,0.909,50.256,0.368
ran_pars,subj_id,sd__(Intercept),97.927,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.115,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.662,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),79.6,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.077,NA,NA,NA,NA
fixed,NA,(Intercept),789.717,15.533,50.84,125.28,0
fixed,NA,X_i,87.016,22.14,3.93,51.123,0
ran_pars,subj_id,sd__(Intercept),110.828,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.218,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,40.46,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),74.381,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.567,NA,NA,NA,NA
fixed,NA,(Intercept),782.36,15.681,49.893,106.49,0
fixed,NA,X_i,36.982,24.426,1.514,48.998,0.136
ran_pars,subj_id,sd__(Intercept),99.206,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.201,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,25.981,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),83.466,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.692,NA,NA,NA,NA
fixed,NA,(Intercept),798.515,14.352,55.637,110.692,0
fixed,NA,X_i,39.125,22.009,1.778,50.35,0.081
ran_pars,subj_id,sd__(Intercept),93.811,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.536,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.333,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),74.119,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.343,NA,NA,NA,NA
fixed,NA,(Intercept),822.419,14.367,57.242,115.632,0
fixed,NA,X_i,69.62,21.544,3.232,50.979,0.002
ran_pars,subj_id,sd__(Intercept),97.025,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.097,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.751,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),72.136,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.6,NA,NA,NA,NA
fixed,NA,(Intercept),808.462,15.728,51.402,124.268,0
fixed,NA,X_i,89.089,22.638,3.935,51.912,0
ran_pars,subj_id,sd__(Intercept),111.599,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.214,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,45.979,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),75.694,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.998,NA,NA,NA,NA
fixed,NA,(Intercept),815.423,15.299,53.301,114.621,0
fixed,NA,X_i,70.461,23.113,3.049,50.781,0.004
ran_pars,subj_id,sd__(Intercept),102.216,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.359,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,39.929,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.914,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.927,NA,NA,NA,NA
fixed,NA,(Intercept),789.458,16.488,47.88,99.825,0
fixed,NA,X_i,51.577,26.765,1.927,51.116,0.06
ran_pars,subj_id,sd__(Intercept),99.289,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.07,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,48.231,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),90.896,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.47,NA,NA,NA,NA
fixed,NA,(Intercept),792.522,15.943,49.71,106.067,0
fixed,NA,X_i,60.455,25.026,2.416,49.995,0.019
ran_pars,subj_id,sd__(Intercept),100.48,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.13,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,36.684,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),85.194,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.631,NA,NA,NA,NA
fixed,NA,(Intercept),824.483,15.534,53.076,108.508,0
fixed,NA,X_i,100.08,24.093,4.154,49.965,0
ran_pars,subj_id,sd__(Intercept),99.642,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.44,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,35.171,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.839,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.891,NA,NA,NA,NA
fixed,NA,(Intercept),801.15,15.876,50.464,116.216,0
fixed,NA,X_i,18.528,23.922,0.774,51.44,0.442
ran_pars,subj_id,sd__(Intercept),106.831,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.115,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,45.442,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.631,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.523,NA,NA,NA,NA
fixed,NA,(Intercept),812.715,15.566,52.212,111.779,0
fixed,NA,X_i,41.021,23.935,1.714,51.176,0.093
ran_pars,subj_id,sd__(Intercept),101.913,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.144,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,43.789,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.813,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.617,NA,NA,NA,NA
fixed,NA,(Intercept),811.574,16.791,48.335,104.343,0
fixed,NA,X_i,64.899,26.646,2.436,50.436,0.018
ran_pars,subj_id,sd__(Intercept),104.402,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.077,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.766,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),90.764,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.109,NA,NA,NA,NA
fixed,NA,(Intercept),780.627,13.857,56.333,119.399,0
fixed,NA,X_i,50.805,20.207,2.514,50.41,0.015
ran_pars,subj_id,sd__(Intercept),96.293,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.626,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,33.337,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),67.402,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,205.479,NA,NA,NA,NA
fixed,NA,(Intercept),820.078,14.598,56.179,118.398,0
fixed,NA,X_i,75.143,21.791,3.448,52.747,0.001
ran_pars,subj_id,sd__(Intercept),100.131,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.165,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,48.502,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),72.414,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.419,NA,NA,NA,NA
fixed,NA,(Intercept),790.54,14.365,55.032,111.043,0
fixed,NA,X_i,47.567,22.033,2.159,50.676,0.036
ran_pars,subj_id,sd__(Intercept),94.083,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.347,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.543,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),74.094,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.538,NA,NA,NA,NA
fixed,NA,(Intercept),804.567,15.69,51.278,124.551,0
fixed,NA,X_i,48.291,22.202,2.175,49.028,0.034
ran_pars,subj_id,sd__(Intercept),111.556,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.22,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,24.431,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),75.334,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.948,NA,NA,NA,NA
fixed,NA,(Intercept),817.847,14.297,57.204,122.582,0
fixed,NA,X_i,26.241,20.674,1.269,51.99,0.21
ran_pars,subj_id,sd__(Intercept),101.052,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.062,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.753,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),68.6,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.075,NA,NA,NA,NA
fixed,NA,(Intercept),811.346,13.943,58.189,112.613,0
fixed,NA,X_i,45.195,21.3,2.122,51.715,0.039
ran_pars,subj_id,sd__(Intercept),92.464,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.015,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.444,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),71,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.229,NA,NA,NA,NA
fixed,NA,(Intercept),826.343,14.138,58.447,111.072,0
fixed,NA,X_i,34.815,21.767,1.599,51.591,0.116
ran_pars,subj_id,sd__(Intercept),92.72,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.275,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.565,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),72.74,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.252,NA,NA,NA,NA
fixed,NA,(Intercept),800.132,15.468,51.728,120.721,0
fixed,NA,X_i,85.394,22.459,3.802,49.194,0
ran_pars,subj_id,sd__(Intercept),107.18,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.169,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,26.228,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),76.369,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.688,NA,NA,NA,NA
fixed,NA,(Intercept),797.452,15.992,49.867,99.631,0
fixed,NA,X_i,25.34,26.076,0.972,51.869,0.336
ran_pars,subj_id,sd__(Intercept),96.187,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.332,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,52.05,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),88.182,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,196.136,NA,NA,NA,NA
fixed,NA,(Intercept),795.467,15.363,51.777,115.841,0
fixed,NA,X_i,48.635,23.069,2.108,50.909,0.04
ran_pars,subj_id,sd__(Intercept),103.504,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.02,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,40.748,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.626,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,204.718,NA,NA,NA,NA
fixed,NA,(Intercept),793.032,16.485,48.105,103.051,0
fixed,NA,X_i,69.204,26.309,2.63,50.507,0.011
ran_pars,subj_id,sd__(Intercept),101.644,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.154,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.86,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),89.53,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.719,NA,NA,NA,NA
fixed,NA,(Intercept),807.193,15.357,52.562,108.391,0
fixed,NA,X_i,85.386,24.053,3.55,51.739,0.001
ran_pars,subj_id,sd__(Intercept),98.408,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.04,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,47.507,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),80.989,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,197.605,NA,NA,NA,NA
fixed,NA,(Intercept),800.087,14.292,55.98,98.871,0
fixed,NA,X_i,55.961,23.319,2.4,51.884,0.02
ran_pars,subj_id,sd__(Intercept),85.943,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.014,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,47.034,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),78.228,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.181,NA,NA,NA,NA
fixed,NA,(Intercept),799.774,14.703,54.394,109.491,0
fixed,NA,X_i,39.869,22.591,1.765,49.334,0.084
ran_pars,subj_id,sd__(Intercept),95.141,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.37,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,27.735,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),76.736,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.764,NA,NA,NA,NA
fixed,NA,(Intercept),805.038,15.162,53.094,111.01,0
fixed,NA,X_i,87.412,23.324,3.748,50.849,0
ran_pars,subj_id,sd__(Intercept),99.017,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.111,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,40.719,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),78.648,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.798,NA,NA,NA,NA
fixed,NA,(Intercept),802.116,14.14,56.725,98.398,0
fixed,NA,X_i,67.412,23.244,2.9,52.975,0.005
ran_pars,subj_id,sd__(Intercept),84.736,NA,NA,NA,NA
